[100,150]
(0,0)
(149,99) | (112,20)
(64,6,1,4)
(113,36,5,5)
(113,79,3,2)
(60,82,5,2)
(13,79,4,2)
(14,72,1,2)
(90,27,2,4)
(116,49,2,5)
(77,71,3,5)
(64,68,3,4)
(39,1,4,1)
(40,95,4,2)
(46,18,5,5)
(82,56,3,4)
(20,86,3,1)
(130,13,1,2)
(8,34,2,3)
(107,43,5,4)
(111,45,1,1)
(129,96,1,1)
(128,31,2,2)
(101,1,2,1)
(29,1,5,4)
(3,49,2,4)
(14,30,3,3)
(22,38,1,1)
(105,6,1,2)
(69,60,2,5)
(65,49,2,1)
(114,30,2,2)
(25,85,3,2)
(73,26,1,5)
(63,66,4,1)
(46,36,3,3)
(99,6,1,3)
(97,71,4,2)
(12,67,1,2)
(19,87,1,3)
(97,94,4,3)
(122,10,5,1)
(96,92,4,3)
(41,61,3,4)
(21,63,5,4)
(40,81,2,1)
(16,60,2,2)
(123,46,1,4)
(111,87,4,2)
(107,78,2,4)
(115,47,1,3)
(4,18,2,3)
(38,46,2,4)
(96,58,3,1)
(130,66,5,3)
(0,39,5,5)
(54,69,3,2)
(70,75,1,4)
(3,8,4,1)
(18,70,4,5)
(89,55,1,3)
(20,81,4,2)
(134,50,1,2)
(118,94,2,1)
(99,30,2,5)
(73,65,1,2)
(14,28,5,3)
(41,29,1,3)
(133,17,3,2)
(37,59,1,5)
(57,17,3,2)
(100,33,1,1)
(120,92,4,4)
(68,71,4,3)
(65,38,4,3)
(93,50,2,2)
(73,89,5,1)
(76,20,2,4)
(14,21,5,3)
(19,76,4,4)
(51,70,3,4)
(65,3,1,1)
(89,78,2,2)
(65,7,1,5)
(129,3,1,5)
(77,52,2,5)
(115,37,5,2)
(119,58,2,1)
(29,66,5,1)
(46,83,1,2)
(140,9,1,5)
(43,17,4,3)
(40,11,2,4)
(20,77,5,3)
(75,22,3,1)
(46,8,2,5)
(79,13,3,3)
(66,79,5,3)
(25,81,3,2)
(65,24,5,2)
(113,25,1,2)
(5,72,2,1)
(120,5,2,4)
(89,24,1,3)
(135,92,2,5)
(117,82,5,4)
(29,30,3,4)
(49,3,2,2)
(37,26,5,2)
(15,27,4,1)
(90,25,3,1)
(94,53,4,5)
(82,45,5,3)
(5,3,5,4)
(6,28,4,1)
(25,30,5,2)
(62,82,4,2)
(21,78,2,4)
(24,80,1,3)
(125,41,4,1)
(65,33,5,2)
(128,45,1,1)
(135,35,3,2)
(29,35,2,1)
(130,2,4,2)
(105,65,5,2)
(86,66,4,5)
(133,53,2,1)
(136,93,3,4)
(116,20,2,1)
(54,76,3,3)
(28,75,3,5)
(148,32,1,4)
(23,3,1,4)
(102,69,5,1)
(47,92,5,1)
(143,4,1,5)
(86,57,2,3)
(38,52,3,1)
(83,69,5,3)
(19,35,1,1)
(103,92,4,5)
(120,7,3,4)
(13,94,4,5)
(122,8,2,4)
(90,37,4,3)
(73,79,4,1)
(25,37,5,4)
(112,1,2,2)
(129,72,1,2)
(64,40,4,5)
(25,21,2,4)
